template,docked,rmsd,exception
3MS9_MS9,3MS9_MS9_3,0.24161701788850365,
3MS9_MS9,3K5V_STJ_3,12.760229923526065,
6HD4_FYW,1FPU_PRC_2,5.584329401697813,
6HD4_FYW,6HD6_FYH_2,4.026403493027824,
6HD4_FYW,6HD4_FYW_1,3.738721593715223,
6HD4_FYW,2QOH_P3Y_3,5.2850787755718445,
6HD4_FYW,3MS9_MS9_1,4.142221582505146,
6HD4_FYW,3K5V_STJ_2,1.192046484342509,
6HD4_FYW,3K5V_STI_3,8.42481603656721,
6HD6_FYH,1FPU_PRC_2,3.815505350277994,
6HD6_FYH,6HD6_FYH_3,3.533702501835926,
6HD6_FYH,6HD4_FYW_1,13.766477549346698,
6HD6_FYH,2QOH_P3Y_1,11.47790815033384,
6HD6_FYH,3MS9_MS9_1,4.5528679499849325,
6HD6_FYH,3K5V_STJ_3,2.063252787065446,
6HD6_FYH,3K5V_STI_2,7.346762639285415,
3K5V_STI,1FPU_PRC_1,0.9459825535741482,
3K5V_STI,6HD6_FYH_1,8.104526702487526,
3K5V_STI,6HD4_FYW_3,5.939222432271753,
3K5V_STI,2QOH_P3Y_1,2.488188031479936,
3K5V_STI,3KF4_B90_2,11.333790542609743,
3K5V_STI,3MS9_MS9_3,9.800625126108027,
3K5V_STI,3K5V_STJ_1,13.357593608547578,
3K5V_STI,3K5V_STI_3,0.6925661982214542,
3K5V_STI,3KFA_B91_3,6.6614999600784355,
3KFA_B91,1FPU_PRC_3,7.7513695465382115,
3KFA_B91,6HD6_FYH_2,6.579046745729962,
3KFA_B91,6HD4_FYW_1,8.262720350344672,
3KFA_B91,2QOH_P3Y_1,2.060563103862631,
3KFA_B91,3KF4_B90_1,0.3007224509410628,
3KFA_B91,3MS9_MS9_1,6.89775996900443,
3KFA_B91,3K5V_STJ_1,10.620649060412665,
3KFA_B91,3K5V_STI_1,9.284375916627353,
3KFA_B91,3KFA_B91_3,1.2341857968796723,
3K5V_STJ,1FPU_PRC_2,6.051300585617939,
3K5V_STJ,6HD6_FYH_3,0.6790698374737811,
3K5V_STJ,6HD4_FYW_1,1.467782515679123,
3K5V_STJ,2QOH_P3Y_1,11.723867186481176,
3K5V_STJ,3MS9_MS9_1,6.68228878126724,
3K5V_STJ,3K5V_STJ_1,3.815419252677706,
3K5V_STJ,3K5V_STI_1,6.271277194479607,
